Name,Pieces,Minifigs
Brick Bank,2380,5
Volkswagen Beetle,1167,
Big Ben,4163,
Winter Holiday Train,734,5
XL Creative Brick Box,1600,
Creative Building Set,583,
Creative Building Basket,1000,
Police Helicopter Chase,63,2
Iron Man vs. Loki,66,2
Snake Showdown,92,2
Ariel's Dolphin Carriage,70,1
Batman & Superman vs. Lex Luthor,164,3
Lost Temple,172,3
Stephanie's Horse Carriage,58,1
Emma's Ice Cream Truck,136,2
Mia's Vet Clinic,173,2
Cinderella's Carriage,116,2
Baby Animals,13,
Savanna,18,1
Arctic,40,2
Jungle,86,2
Around the World,163,5
Horses,20,1
Horse Trailer,15,2
Little Plane,13,1
Police Patrol,15,2
Push Train,45,2
Backhoe Loader,19,1
Truck & Tracked Excavator,28,2
Big Construction Site,67,3
Tow Truck,28,2
My First Rocket,18,
My First Cars and Trucks,36,
Creative Chest,70,
My First Truck,29,2
My First Garden,25,2
Creative Construction Basket,110,2
Sofia the First Magical Carriage,30,1
Miles' Space Adventures,23,1
Miles' Exo-Flex Suit,37,1
Miles' Stellosphere Hangar,44,1
Mickey & Friends Beach House,48,3
Doc McStuffins' Pet Vet Care,30,1
Mickey's Workshop,18,1
Minnie's Café,27,1
My First Caterpillar,19,
City: Build Your Own Adventure parts,92,1
LEGO Star Wars: Build Your Own Adventure,73,1
Venice,212,
Berlin,289,
New York City,598,
Buckingham Palace,780,
United States Capitol Building,1032,
Burj Khalifa,333,
The Iron Golem,208,2
The End Portal,559,3
The Jungle Tree House,706,4
The Wither,318,3
The Fortress,984,4
The Village,1600,8
Maze,769,
The Beatles Yellow Submarine,553,5
Caterham Seven 620R,771,
First Order Star Destroyer,56,
Poe's X-wing Fighter,64,
Kylo Ren's Command Shuttle,43,
Duck,4,
Wildlife {Random bag},7,
Wildlife - Polar Bear,,
Wildlife - Penguin,,
Wildlife - Tortoise,,
Wildlife - Lion Cub,,
Wildlife - Elephant,,
Prison Island Helicopter,46,1
Fire Car,53,1
Mini Dumper,45,1
Sports Car,47,1
Volcano Jackhammer,53,1
Knight's Cycle,42,1
Robin's Mini Fortrex,45,1
Knighton Hyper Cannon,47,1
The Lava Slinger,40,1
Sira's Adventurous Airglider,24,1
Cupcake Stall,28,1
Olaf's Summertime Fun,48,1
Adventure Camp Bridge,37,1
Bowling Alley,51,1
Skybound Plane,30,1
Kai's Mini Dragon,39,1
Anchor-Jet,38,1
WU-CRU Training Dojo,43,2
The Batmobile,63,
Captain America's Motorcycle ,25,1
Spider-Man vs. The Venom Symbiote,49,1
Helicopter,47,
Parrot,43,
Racer,30,1
Reindeer,77,
Scooby-Doo,2,
First Order Stormtrooper,7,1
Batman Classic TV Series - Mr. Freeze,16,1
Cosmic Boy,7,1
Finn (FN-2187),5,1
Nightwing,6,1
Desert Racers,65,
Construction Vehicles,64,
Super Soarer,100,
Chopper Transporter,124,
Park Animals,202,
Ocean Explorer,213,
Fast Car,222,
Propeller Plane,230,
Lakeside Lodge,368,1
Twin Spin Helicopter,326,
Corner Deli,467,2
Lighthouse Point,528,2
Vacation Getaways,792,2
Treehouse Adventures,387,2
Space Shuttle (Uniqlo edition),,
Robot (Uniqlo edition),,
Koala (Uniqlo edition),,
Parrot (Uniqlo edition),,
What am I?,536,16
Minifigure Wedding Favour Set,89,2
LEGOLAND Train,210,4
My First Set,10,
Personalised Mosaic Portrait,,
Valentine's Cupid Dog,150,
Easter Chick,111,
Vampire and Bat,150,
Pilgrim's Feast,163,
Little Elf Helpers,238,
LEGO Santa,155,
Year of the Monkey,165,
Polar Bear,40,
Snowmobile,26,
Bunny,49,
Bee,34,
Hedgehog,39,
Seaplane,24,
Frog,60,
Apple,58,
School Bus,65,
Werewolf,52,
Fox,39,
Christmas Present,55,
London Bus,118,
Fountain,105,2
Christmas Build-Up,250,
Snowglobe,215,1
Rio 2016 Mascots,197,
Birthday Buddy,133,
MSC Meraviglia,180,
Geoffrey & Friends,133,2
Rapunzel's Best Day Ever,145,1
Anna & Kristoff's Sleigh Adventure,174,2
Belle's Enchanted Castle,374,8
Arendelle Castle Celebration,477,6
Treasure's Day at the Pool,70,
Birthday Party,191,1
Party Train,109,1
Party Cakes,50,
Party Gift Shop,52,
Party Styling,54,
Emma's Creative Workshop,108,1
Olivia's Exploration Car,185,1
Pop Star TV Studio,194,1
Heartlake Supermarket,313,2
Heartlake Cupcake Cafe,439,2
Adventure Camp Archery,114,1
Adventure Camp Rafting,320,2
Adventure Camp Tree House,726,3
Foal's Washing Station,77,1
Heartlake Puppy Daycare,286,2
Horse Vet Trailer,370,2
Heartlake Riding Club,575,2
Amusement Park Arcade,174,1
