link,price,title
https://atlanta.craigslist.org/atl/cto/d/alpharetta-2007-acura-rdx/6936519025.html,$3950,2007 Acura RDX
https://atlanta.craigslist.org/atl/cto/d/atlanta-2006-maserati-quattroporte/6936517768.html,$16500,2006 Maserati Quattroporte Executive  GT – RARE. Low miles!
https://atlanta.craigslist.org/atl/cto/d/atlanta-dodge-charger-2008-v6-running/6936515182.html,$1000,Dodge Charger 2008 v6 running w/ bad transmission
https://atlanta.craigslist.org/nat/cto/d/smyrna-2013-hyundai-sonata-gls-sedan-4d/6936512698.html,$6975,2013 Hyundai Sonata GLS Sedan 4D
https://atlanta.craigslist.org/atl/cto/d/lawrenceville-2017-nissan-altima-sr-low/6936510620.html,$14000,"2017 nissan altima SR ""LOW MILES"""
https://atlanta.craigslist.org/atl/cto/d/woodstock-97-f-obs/6936505746.html,$8000,97 F250 7.3 OBS
https://atlanta.craigslist.org/atl/cto/d/cumming-2012-nissan-xterra-4x4/6936504149.html,$11000,2012 nissan xterra 4x4
https://atlanta.craigslist.org/atl/cto/d/decatur-2012-chevrolet-malibu-lt/6936499235.html,$3300,2012 CHEVROLET MALIBU LT
https://atlanta.craigslist.org/nat/cto/d/cedartown-2012-chevy-silverado-1500/6936494448.html,$10000,2012 Chevy Silverado 1500
https://atlanta.craigslist.org/atl/cto/d/decatur-2014-dodge-charger/6936493759.html,$5200,2014 DODGE CHARGER
https://atlanta.craigslist.org/atl/cto/d/atlanta-2007-honda-accord-excellent-runs/6936492900.html,$1000,2007 honda accord excellent runs
https://atlanta.craigslist.org/atl/cto/d/2013-chevrolet-malibu-clean-title/6936492456.html,$6495,2013 CHEVROLET MALIBU **CLEAN TITLE **CURRENT EMISSION**VERY CHEAP!!!
https://atlanta.craigslist.org/atl/cto/d/marietta-2011-volkswagen-cc-only-95k/6936490421.html,$6495,2011 VOLKSWAGEN CC *ONLY 95K* *NEW TIRES*
https://atlanta.craigslist.org/nat/cto/d/marietta-2017-infiniti-q60-red-sport/6936489217.html,$36499,2017 Infiniti Q60 Red Sport 400HP
https://atlanta.craigslist.org/nat/cto/d/oakwood-1992-chevrolet-s10-pickup/6936487165.html,$2300,1992 Chevrolet S10 Pickup
https://atlanta.craigslist.org/nat/cto/d/cedartown-1998-toyota-tacoma-ext-cab/6936485391.html,$7000,1998 Toyota Tacoma Ext Cab TRD Prerunner
https://atlanta.craigslist.org/atl/cto/d/cumming-1983-chevrolet-silverado/6936484416.html,$10500,1983 Chevrolet Silverado
https://atlanta.craigslist.org/atl/cto/d/atlanta-toyota-camry/6936479372.html,$500,Toyota Camry
https://atlanta.craigslist.org/eat/cto/d/snellville-mopar-72-dodge-charger/6936479075.html,$2500,mopar 72 dodge charger project
https://atlanta.craigslist.org/atl/cto/d/duluth-real-buyers/6936473583.html,$4300,Real buyers
https://atlanta.craigslist.org/atl/cto/d/warner-robins-2004-jaguar-xk8/6936472192.html,$12000,2004 Jaguar XK8 Convertible
https://atlanta.craigslist.org/nat/cto/d/smyrna-hyundai-sonata-drives-great-nice/6936471900.html,$1800,Hyundai Sonata Drives great! Nice comfortable vehicle
https://atlanta.craigslist.org/atl/cto/d/atlanta-2000-buick-lesabre-very-reliable/6936470571.html,$3200,2000 Buick Lesabre---Very Reliable
https://atlanta.craigslist.org/atl/cto/d/atlanta-2007-ford-freestyle-limited/6936470488.html,$1500,2007 Ford Freestyle Limited
